"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"nms_d5",72,558,5.31720430107527,7.15020367799559,2,3.85044642857143,2.9652,0,36,36,1.85988151375272,3.4757082792329,0.302692258394223
"nms_d6",73,558,5.25089605734767,6.50960822136323,3,4.00446428571429,4.4478,0,32,32,1.63676869194267,2.46783099959552,0.275573690278205
"nms_d7",74,558,7.70071684587814,8.35532916871175,5,6.26116071428571,7.413,0,36,36,1.41666533185024,1.66785978427585,0.353709288518263
"nms_d8",75,558,4.24731182795699,6.25948056071919,1,2.94196428571429,1.4826,0,24,24,1.70006109728658,2.32282897308373,0.26498494205552
"nms_d9",76,558,6.06272401433692,7.16449512610802,4,4.78348214285714,5.9304,0,48,48,1.64506962783545,3.11414082142051,0.303297263635988
"nmstot",77,558,47.2311827956989,39.8539789268331,36,41.265625,32.6172,0,225,225,1.41893878387865,2.00845816129889,1.68715346172357
"scmmotex",78,558,11.4838709677419,6.20351363325999,10,10.9040178571429,5.9304,1,35,34,0.894707902324194,0.666774927106831,0.262615673090477
"scmadl",79,558,6.66845878136201,4.12499167608147,7,6.40625,2.9652,0,21,21,0.689026315097789,0.771179832074827,0.174624822245692
"scmmotcp",80,558,2.584229390681,2.94337378284885,2,2.12053571428571,2.9652,0,12,12,1.07830474127829,0.528318070958183,0.124602948076945
"scmtot",81,558,20.7365591397849,11.5736866627997,19,19.7366071428571,11.1195,1,65,64,0.906248974089602,0.889127315084604,0.489953225345326
"cisitot",82,558,8.13620071684588,4.47206544915696,8,7.81696428571429,4.4478,0,23,23,0.594487704743403,-0.0596075077755782,0.189317626665366
"nms_d1c",83,558,0.413978494623656,0.49298666181631,0,0.392857142857143,0,0,1,1,0.348355651879435,-1.88201149098389,0.0208697895533571
"nms_d2c",84,558,0.82078853046595,0.383873420019045,1,0.899553571428571,0,0,1,1,-1.66832931860986,0.784738686334572,0.0162506576981387
"nms_d3c",85,558,0.689964157706093,0.462922957716774,1,0.736607142857143,0,0,1,1,-0.819245263111344,-1.33121325643957,0.019597091473778
"nms_d4c",86,558,0.259856630824373,0.438949268774182,0,0.200892857142857,0,0,1,1,1.09221279891485,-0.808510516194439,0.018582204293654
"nms_d5c",87,558,0.681003584229391,0.466505858832076,1,0.725446428571429,0,0,1,1,-0.774606370425978,-1.40248876234699,0.0197487677726689
"nms_d6c",88,558,0.702508960573477,0.457564561092398,1,0.752232142857143,0,0,1,1,-0.883573853738531,-1.22147664196016,0.019370252456507
